"성별",2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05
"성별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
"계",44460,28468,27322,1145,15992,64.0,4.0,61.5,44495,28545,27408,1137,15951,64.2,4.0,61.6,44530,28480,27383,1097,16050,64.0,3.9,61.5,44546,28216,27358,858,16330,63.3,3.0,61.4,44573,28288,27404,884,16285,63.5,3.1,61.5,44601,28373,27509,864,16228,63.6,3.0,61.7,44625,28380,27515,866,16245,63.6,3.1,61.7,44661,28095,27154,942,16566,62.9,3.4,60.8,44665,27952,26800,1153,16713,62.6,4.1,60.0,44698,27991,26838,1153,16708,62.6,4.1,60.0,44712,27789,26609,1180,16923,62.2,4.2,59.5,44725,27734,26562,1172,16991,62.0,4.2,59.4,44756,28209,26930,1278,16548,63.0,4.5,60.2
"남자",21859,16225,15535,690,5634,74.2,4.3,71.1,21882,16238,15560,678,5644,74.2,4.2,71.1,21905,16207,15570,637,5699,74.0,3.9,71.1,21910,16079,15565,514,5831,73.4,3.2,71.0,21926,16080,15539,541,5846,73.3,3.4,70.9,21943,16125,15606,520,5818,73.5,3.2,71.1,21956,16143,15609,534,5813,73.5,3.3,71.1,21981,16051,15515,536,5930,73.0,3.3,70.6,21975,15950,15324,626,6025,72.6,3.9,69.7,21996,15979,15336,643,6017,72.6,4.0,69.7,21999,15945,15282,662,6055,72.5,4.2,69.5,22000,15912,15237,675,6089,72.3,4.2,69.3,22020,16119,15382,737,5902,73.2,4.6,69.9
"여자",22601,12243,11788,455,10358,54.2,3.7,52.2,22613,12307,11848,460,10306,54.4,3.7,52.4,22625,12274,11813,460,10351,54.2,3.7,52.2,22636,12137,11794,343,10499,53.6,2.8,52.1,22647,12207,11865,342,10440,53.9,2.8,52.4,22658,12248,11903,345,10410,54.1,2.8,52.5,22669,12237,11906,332,10432,54.0,2.7,52.5,22680,12044,11638,406,10636,53.1,3.4,51.3,22691,12002,11476,526,10689,52.9,4.4,50.6,22702,12012,11502,509,10691,52.9,4.2,50.7,22713,11845,11327,517,10869,52.1,4.4,49.9,22724,11822,11325,497,10902,52.0,4.2,49.8,22736,12090,11549,541,10646,53.2,4.5,50.8
"농가",2212,1798,1777,21,415,81.3,1.1,80.3,2197,1802,1779,23,396,82.0,1.3,81.0,2213,1811,1794,16,403,81.8,0.9,81.1,2235,1822,1807,15,413,81.5,0.8,80.8,2276,1854,1838,17,421,81.5,0.9,80.8,2278,1851,1838,13,428,81.2,0.7,80.7,2259,1782,1765,17,477,78.9,1.0,78.1,2263,1600,1571,29,664,70.7,1.8,69.4,2284,1557,1524,34,726,68.2,2.2,66.7,2288,1586,1563,23,702,69.3,1.5,68.3,2284,1724,1701,24,560,75.5,1.4,74.5,2272,1789,1760,29,483,78.7,1.6,77.5,2278,1823,1800,23,455,80.0,1.3,79.0
"농가남자",1155,1006,992,14,149,87.1,1.4,85.8,1146,1007,991,16,138,87.9,1.6,86.5,1154,1012,1003,9,142,87.7,0.9,86.9,1168,1017,1006,11,151,87.1,1.1,86.1,1196,1038,1022,16,158,86.8,1.5,85.4,1196,1033,1024,9,163,86.4,0.9,85.7,1183,1009,993,16,174,85.3,1.6,84.0,1179,945,926,19,233,80.2,2.0,78.6,1189,932,907,25,257,78.4,2.7,76.2,1194,952,936,16,242,79.7,1.7,78.4,1192,1006,991,15,186,84.4,1.5,83.1,1183,1024,1002,22,159,86.5,2.1,84.7,1185,1022,1007,15,163,86.3,1.5,85.0
"농가여자",1057,792,785,6,265,74.9,0.8,74.3,1052,794,787,7,257,75.5,0.9,74.9,1060,799,791,8,261,75.4,0.9,74.7,1066,804,800,4,262,75.4,0.5,75.1,1079,816,816,1,263,75.6,0.1,75.6,1083,818,814,4,265,75.5,0.5,75.2,1076,773,772,1,303,71.8,0.1,71.7,1085,654,645,10,431,60.3,1.5,59.4,1095,626,617,9,469,57.1,1.4,56.4,1094,634,627,7,460,57.9,1.1,57.3,1092,718,710,8,374,65.8,1.2,65.0,1089,765,758,7,324,70.3,0.9,69.6,1093,801,793,8,292,73.3,1.0,72.6
"비농가",42248,26670,25546,1125,15578,63.1,4.2,60.5,42298,26743,25629,1114,15555,63.2,4.2,60.6,42316,26670,25589,1081,15647,63.0,4.1,60.5,42311,26395,25552,843,15917,62.4,3.2,60.4,42297,26434,25566,867,15864,62.5,3.3,60.4,42323,26523,25671,852,15800,62.7,3.2,60.7,42366,26599,25750,849,15768,62.8,3.2,60.8,42398,26496,25583,913,15902,62.5,3.4,60.3,42382,26395,25276,1119,15987,62.3,4.2,59.6,42411,26405,25275,1130,16006,62.3,4.3,59.6,42428,26065,24909,1156,16364,61.4,4.4,58.7,42453,25945,24802,1143,16508,61.1,4.4,58.4,42478,26385,25130,1255,16093,62.1,4.8,59.2
"비농가남자",20704,15219,14543,676,5485,73.5,4.4,70.2,20737,15230,14569,662,5506,73.4,4.3,70.3,20752,15195,14567,628,5557,73.2,4.1,70.2,20742,15062,14559,503,5680,72.6,3.3,70.2,20730,15043,14517,526,5687,72.6,3.5,70.0,20748,15092,14582,511,5655,72.7,3.4,70.3,20773,15134,14616,518,5639,72.9,3.4,70.4,20803,15106,14589,517,5697,72.6,3.4,70.1,20786,15018,14417,601,5767,72.3,4.0,69.4,20803,15027,14400,627,5775,72.2,4.2,69.2,20807,14938,14291,647,5869,71.8,4.3,68.7,20818,14888,14235,653,5929,71.5,4.4,68.4,20836,15097,14375,722,5739,72.5,4.8,69.0
"비농가여자",21544,11451,11002,449,10093,53.2,3.9,51.1,21562,11513,11060,453,10049,53.4,3.9,51.3,21565,11475,11022,453,10090,53.2,3.9,51.1,21569,11333,10993,340,10237,52.5,3.0,51.0,21568,11391,11049,342,10177,52.8,3.0,51.2,21575,11430,11089,341,10145,53.0,3.0,51.4,21593,11465,11134,331,10128,53.1,2.9,51.6,21595,11390,10994,396,10205,52.7,3.5,50.9,21596,11377,10859,518,10219,52.7,4.6,50.3,21608,11378,10875,503,10230,52.7,4.4,50.3,21621,11127,10618,509,10495,51.5,4.6,49.1,21635,11057,10567,490,10578,51.1,4.4,48.8,21643,11289,10755,533,10354,52.2,4.7,49.7
