,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
2017.2/4,104.2,99.8,102.7,108.2,102.1,102.5,97.9,105.3,104.6,102.5,104,102.3,98.8,100.4,98.8,108.3
     3/4,104.7,100.2,98.4,106.9,97.8,101.3,97.1,104.7,108.2,103.7,105.9,102,102,101.3,100.3,120.4
     4/4,113.5,104.8,105.5,108.5,105.6,107.8,101.7,107.7,107.3,109,110.9,103.9,103.9,104.4,102.3,115.5
2018.1/4,107.5,101.8,100.8,108.9,100.2,101.3,97.4,102.9,100.8,100.9,101.6,98,99.3,97.6,98.2,115.4
     2/4,111.8,102.1,103.1,111.8,102,102.4,96.8,108.2,106.9,102.5,106.1,102.6,101.4,100,98.8,128
     3/4,110.2,99.4,98.9,109.4,100.2,101.8,96.2,106.9,111.1,105.2,107.8,100.8,103.3,101.2,98,132
     4/4,117.6,104.2,106.4,111.8,105.9,105.5,99.1,107.9,108,109.2,109.4,102.6,104.6,102.7,101.9,127.5
2019.1/4,110.6,99.3,99.2,109.5,98.7,99.7,94.9,102,100.9,99.8,100.8,97.9,98.7,95.2,96.1,127.3
     2/4,117.8,100.7,100.1,112.7,99.4,100.9,95.6,105.9,104.7,100.1,105.2,101.9,100.4,98.7,98.9,137.1
     3/4,115.9,99.8,97.3,109.8,98.4,99.3,95.4,106,109.4,100.7,105.3,101.1,101.6,99.1,99.4,144.8
     4/4,125.7,108.2,108,111.9,104.3,106.4,100.4,109.5,109.5,107.5,111.3,105.2,105.1,104.1,106.1,146.7
2020.1/4,101.9,92.8,89.4,99.5,93.2,92.2,90,99.7,97.4,95.8,99.1,95.7,102.5,94.7,95.6,108.4
