"행정구역별(1)",2019. 01 p),2019. 01 p),2019. 01 p),2019. 01 p),2019. 02 p),2019. 02 p),2019. 02 p),2019. 02 p),2019. 03 p),2019. 03 p),2019. 03 p),2019. 03 p),2019. 04 p),2019. 04 p),2019. 04 p),2019. 04 p),2019. 05 p),2019. 05 p),2019. 05 p),2019. 05 p),2019. 06 p),2019. 06 p),2019. 06 p),2019. 06 p),2019. 07 p),2019. 07 p),2019. 07 p),2019. 07 p),2019. 08 p),2019. 08 p),2019. 08 p),2019. 08 p),2019. 09 p),2019. 09 p),2019. 09 p),2019. 09 p),2019. 10 p),2019. 10 p),2019. 10 p),2019. 10 p),2019. 11 p),2019. 11 p),2019. 11 p),2019. 11 p),2019. 12 p),2019. 12 p),2019. 12 p),2019. 12 p),2020. 01 p),2020. 01 p),2020. 01 p),2020. 01 p),2020. 02 p),2020. 02 p),2020. 02 p),2020. 02 p),2020. 03 p),2020. 03 p),2020. 03 p),2020. 03 p)
"행정구역별(1)",혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당)
"전국",21326,4.9,9691,2.2,18199,4.6,8204,2.1,19549,4.5,9071,2.1,20026,4.7,9536,2.3,23045,5.3,9861,2.3,17942,4.3,8680,2.1,19178,4.4,9497,2.2,18336,4.2,9054,2.1,15798,3.7,9010,2.1,20327,4.7,9859,2.3,20488,4.9,9199,2.2,24945,5.7,9169,2.1,19823,4.6,8832,2.0,19104,4.7,8232,2.0,19359,4.5,7298,1.7
"서울특별시",4053,5.0,1562,1.9,3687,5.0,1218,1.7,3870,4.7,1355,1.7,3977,5.0,1489,1.9,4696,5.8,1491,1.8,3683,4.7,1312,1.7,3969,4.9,1468,1.8,3859,4.7,1363,1.7,3212,4.1,1352,1.7,4088,5.0,1527,1.9,4150,5.3,1481,1.9,5017,6.2,1354,1.7,3863,4.8,1359,1.7,3906,5.2,1220,1.6,3975,4.9,1069,1.3
"부산광역시",1300,4.5,555,1.9,1051,4.0,511,2.0,1113,3.9,535,1.9,1164,4.2,609,2.2,1316,4.6,643,2.2,1103,4.0,543,1.9,1041,3.6,536,1.9,1067,3.7,565,2.0,861,3.1,536,1.9,1133,3.9,612,2.1,1181,4.3,550,2.0,1450,5.1,592,2.1,1125,3.9,450,1.6,1086,4.1,490,1.8,1128,3.9,257,0.9
"대구광역시",981,4.7,426,2.1,774,4.1,383,2.0,778,3.8,387,1.9,806,4.0,418,2.1,965,4.7,410,2.0,737,3.7,345,1.7,818,4.0,425,2.1,751,3.6,334,1.6,616,3.1,362,1.8,779,3.8,417,2.0,836,4.2,406,2.0,1039,5.1,342,1.7,841,4.1,368,1.8,735,3.8,370,1.9,753,3.7,208,1.0
"인천광역시",1226,4.9,638,2.6,1010,4.5,512,2.3,1115,4.5,590,2.4,1106,4.6,608,2.5,1283,5.2,707,2.8,968,4.0,530,2.2,1095,4.4,556,2.2,1069,4.3,698,2.8,920,3.8,555,2.3,1209,4.9,575,2.3,1126,4.7,636,2.6,1274,5.1,571,2.3,1114,4.5,603,2.4,1086,4.7,550,2.4,1073,4.3,402,1.6
"광주광역시",583,4.7,258,2.1,461,4.1,222,2.0,485,3.9,235,1.9,533,4.5,251,2.1,635,5.2,247,2.0,443,3.7,199,1.7,535,4.3,283,2.3,514,4.2,242,2.0,407,3.4,235,2.0,551,4.5,261,2.1,521,4.4,233,2.0,629,5.1,249,2.0,529,4.3,189,1.5,502,4.4,230,2.0,522,4.3,186,1.5
"대전광역시",596,4.7,258,2.1,574,5.1,217,1.9,565,4.5,272,2.2,545,4.5,267,2.2,640,5.1,239,1.9,452,3.7,254,2.1,503,4.0,245,2.0,514,4.1,280,2.2,394,3.3,246,2.0,606,4.9,306,2.5,551,4.6,254,2.1,662,5.3,259,2.1,547,4.4,267,2.2,507,4.4,182,1.6,548,4.4,254,2.1
"울산광역시",542,5.6,230,2.4,434,4.9,124,1.4,451,4.6,229,2.4,464,4.9,230,2.4,520,5.3,230,2.4,394,4.2,218,2.3,408,4.2,244,2.5,419,4.3,212,2.2,320,3.4,210,2.2,443,4.6,206,2.1,466,5.0,205,2.2,581,6.0,196,2.0,489,5.1,229,2.4,454,5.0,169,1.9,474,4.9,156,1.6
"세종특별자치시",172,6.4,62,2.3,165,6.8,45,1.8,159,5.8,56,2.1,173,6.5,60,2.3,208,7.6,53,1.9,160,6.0,58,2.2,142,5.1,42,1.5,144,5.1,38,1.4,125,4.6,48,1.8,196,6.9,49,1.7,165,6.0,33,1.2,230,8.0,62,2.2,155,5.4,47,1.6,160,5.9,47,1.7,142,4.9,44,1.5
"경기도",5312,4.8,2450,2.2,4591,4.6,2120,2.1,5068,4.6,2269,2.1,5204,4.9,2446,2.3,5952,5.4,2546,2.3,4728,4.4,2217,2.1,5130,4.6,2469,2.2,4836,4.4,2285,2.1,4350,4.0,2363,2.2,5207,4.7,2507,2.3,5387,5.0,2373,2.2,6591,5.9,2408,2.2,5201,4.7,2382,2.1,5069,4.9,2228,2.1,5230,4.7,2014,1.8
"강원도",577,4.4,312,2.4,503,4.3,295,2.5,529,4.1,284,2.2,534,4.3,306,2.4,701,5.4,321,2.5,534,4.3,267,2.1,500,3.9,313,2.4,468,3.6,291,2.2,454,3.6,300,2.4,602,4.6,322,2.5,616,4.9,292,2.3,744,5.7,321,2.5,538,4.2,265,2.0,514,4.2,273,2.3,518,4.0,276,2.1
"충청북도",644,4.8,325,2.4,579,4.8,281,2.3,603,4.5,309,2.3,614,4.7,334,2.6,669,5.0,339,2.5,544,4.2,305,2.3,531,3.9,292,2.2,529,3.9,285,2.1,459,3.5,308,2.4,640,4.7,314,2.3,666,5.1,283,2.2,761,5.6,324,2.4,586,4.4,288,2.1,603,4.8,270,2.1,627,4.7,272,2.0
"충청남도",885,4.9,465,2.6,742,4.6,379,2.3,836,4.7,464,2.6,819,4.7,481,2.8,946,5.3,436,2.4,740,4.3,429,2.5,816,4.6,425,2.4,725,4.0,403,2.2,633,3.6,419,2.4,814,4.5,456,2.5,847,4.9,425,2.5,1023,5.7,420,2.3,825,4.6,454,2.5,830,5.0,360,2.2,761,4.3,353,2.0
"전라북도",672,4.3,346,2.2,522,3.7,265,1.9,632,4.1,375,2.4,615,4.1,321,2.1,680,4.4,375,2.4,496,3.3,334,2.2,514,3.3,296,1.9,479,3.1,367,2.4,477,3.2,306,2.1,621,4.0,395,2.6,631,4.2,295,2.0,666,4.3,332,2.2,576,3.8,306,2.0,537,3.8,218,1.5,517,3.4,390,2.6
"전라남도",745,4.7,347,2.2,611,4.3,328,2.3,654,4.1,350,2.2,624,4.1,336,2.2,673,4.3,362,2.3,539,3.5,315,2.1,608,3.9,376,2.4,509,3.2,349,2.2,474,3.1,340,2.2,629,4.0,396,2.5,621,4.1,313,2.1,726,4.6,318,2.0,647,4.1,305,1.9,659,4.5,316,2.2,613,3.9,287,1.8
"경상북도",1028,4.6,446,2.0,822,4.0,433,2.1,932,4.1,480,2.1,906,4.2,447,2.0,1020,4.5,489,2.2,767,3.5,449,2.1,816,3.6,507,2.3,741,3.3,423,1.9,680,3.1,465,2.1,872,3.9,545,2.4,897,4.1,457,2.1,1156,5.1,494,2.2,924,4.1,488,2.2,754,3.6,418,2.0,830,3.7,298,1.3
"경상남도",1253,4.4,720,2.5,1055,4.1,602,2.3,1079,3.8,612,2.2,1112,4.0,642,2.3,1279,4.5,662,2.3,1015,3.7,632,2.3,1035,3.6,733,2.6,1071,3.8,608,2.1,799,2.9,703,2.6,1182,4.2,648,2.3,1177,4.3,639,2.3,1556,5.5,626,2.2,1197,4.2,590,2.1,1115,4.2,592,2.2,1062,3.8,614,2.2
"제주특별자치도",309,5.5,145,2.6,263,5.2,146,2.9,244,4.3,136,2.4,334,6.1,139,2.6,319,5.7,120,2.1,234,4.3,120,2.2,270,4.8,149,2.6,226,4.0,152,2.7,208,3.8,129,2.4,272,4.8,156,2.8,295,5.4,176,3.2,384,6.8,148,2.6,282,5.0,141,2.5,276,5.2,170,3.2,296,5.3,104,1.8
